iter	Passed	Remaining
0	0	56
1	1	56
2	1	51
3	1	45
4	2	43
5	2	42
6	3	41
7	3	41
8	4	40
9	4	39
10	4	39
11	5	38
12	5	38
13	6	37
14	6	36
15	6	36
16	7	35
17	7	35
18	8	34
19	8	34
20	9	33
21	9	33
22	9	33
23	10	33
24	10	32
25	11	32
26	12	32
27	12	32
28	12	31
29	13	31
30	13	30
31	14	30
32	14	30
33	15	29
34	15	29
35	16	29
36	17	29
37	17	28
38	18	28
39	18	27
40	18	27
41	19	26
42	19	25
43	20	25
44	20	25
45	21	24
46	21	24
47	22	24
48	22	23
49	23	23
50	23	22
51	24	22
52	24	21
53	25	21
54	25	20
55	26	20
56	26	20
57	27	19
58	27	19
59	28	18
60	28	18
61	29	18
62	29	17
63	30	17
64	30	16
65	31	16
66	31	15
67	32	15
68	32	14
69	33	14
70	33	13
71	34	13
72	34	12
73	35	12
74	35	11
75	36	11
76	36	11
77	37	10
78	38	10
79	38	9
80	39	9
81	39	8
82	40	8
83	40	7
84	41	7
85	41	6
86	41	6
87	42	5
88	42	5
89	43	4
90	44	4
91	44	3
92	45	3
93	45	2
94	46	2
95	46	1
96	47	1
97	47	0
98	48	0
99	48	0
