iter	Passed	Remaining
0	60	60297
1	60	30395
2	61	20412
3	61	15412
4	62	12414
5	62	10422
6	63	9026
7	64	7943
8	64	7098
9	64	6425
10	65	5877
11	65	5427
12	66	5039
13	66	4709
14	67	4417
15	67	4159
16	68	3936
17	68	3743
18	69	3571
19	69	3415
20	70	3270
21	70	3136
22	70	3015
23	71	2908
24	72	2819
25	73	2735
26	73	2647
27	73	2562
28	74	2488
29	74	2418
30	75	2352
31	75	2291
32	76	2233
33	76	2184
34	77	2135
35	77	2085
36	78	2037
37	78	1999
38	79	1958
39	79	1919
40	80	1886
41	81	1851
42	81	1815
43	82	1784
44	82	1750
45	82	1720
46	83	1692
47	83	1664
48	84	1638
49	84	1613
50	85	1587
51	86	1581
52	87	1559
53	88	1548
54	88	1524
55	89	1501
56	90	1498
57	91	1478
58	91	1457
59	92	1445
60	92	1430
61	93	1411
62	93	1393
63	94	1383
64	95	1368
65	95	1353
66	96	1341
67	96	1326
68	97	1312
69	97	1299
70	98	1286
71	98	1273
72	99	1261
73	99	1248
74	100	1237
75	100	1225
76	101	1215
77	101	1204
78	102	1193
79	102	1183
80	103	1173
81	103	1164
82	104	1151
83	104	1143
84	105	1134
85	106	1134
86	107	1126
87	107	1117
88	108	1108
89	108	1100
90	109	1092
91	110	1091
92	111	1082
93	111	1074
94	112	1068
95	112	1061
96	113	1053
97	113	1045
98	114	1037
99	114	1030
100	114	1023
101	115	1016
102	115	1010
103	116	1003
104	117	998
105	117	992
106	118	987
107	118	980
108	119	975
109	119	969
110	120	962
111	120	956
112	121	949
113	121	943
114	121	937
115	122	932
116	122	926
117	123	921
118	123	917
119	124	912
120	125	908
121	125	902
122	125	897
123	126	893
124	126	888
125	127	884
126	127	878
127	128	873
128	128	869
129	129	864
130	129	860
131	130	857
132	130	853
133	131	849
134	131	845
135	132	840
136	133	841
137	134	838
138	134	835
139	135	831
140	135	827
141	136	821
142	136	817
143	136	814
144	137	810
145	137	805
146	138	802
147	138	798
148	139	794
149	139	791
150	140	787
151	140	784
152	141	780
153	141	777
154	141	773
155	142	770
156	142	767
157	143	764
158	144	761
159	144	758
160	144	754
161	145	751
162	145	748
163	146	746
164	146	742
165	147	740
166	147	737
167	148	735
168	149	733
169	149	729
170	150	727
171	150	724
172	150	721
173	151	718
174	153	724
175	154	722
176	154	719
177	155	716
178	155	713
179	156	711
180	156	709
181	157	706
182	157	703
183	158	701
184	158	698
185	158	695
186	159	693
187	160	691
188	160	688
189	161	686
190	161	683
191	161	681
192	162	681
193	163	678
194	163	676
195	164	673
196	164	671
197	165	669
198	165	667
199	166	665
200	166	663
201	167	661
202	167	659
203	168	656
204	168	654
205	169	652
206	169	650
207	170	648
208	170	646
209	171	645
210	171	643
211	172	641
212	172	639
213	173	637
214	173	634
215	174	632
216	174	630
217	175	628
218	176	629
219	176	627
220	177	625
221	177	623
222	178	621
223	178	619
224	179	617
225	179	615
226	180	614
227	180	612
228	181	610
229	181	609
230	182	607
231	182	605
232	183	603
233	183	601
234	184	599
235	184	597
236	185	595
237	185	594
238	186	592
239	186	590
240	186	588
241	187	587
242	188	585
243	188	584
244	189	582
245	189	581
246	189	579
247	190	577
248	190	575
249	191	573
250	191	572
251	192	570
252	192	568
253	193	566
254	193	565
255	193	563
256	194	562
257	195	561
258	195	559
259	195	557
260	196	556
261	196	554
262	197	553
263	198	552
264	198	550
265	199	549
266	199	547
267	200	546
268	200	544
269	201	543
270	201	542
271	202	541
272	202	539
273	203	537
274	203	536
275	204	535
276	204	533
277	205	532
278	205	531
279	206	530
280	206	529
281	207	527
282	207	526
283	208	525
284	208	523
285	209	522
286	209	520
287	210	519
288	210	518
289	211	516
290	211	515
291	212	514
292	212	513
293	213	511
294	213	510
295	214	509
296	214	508
297	215	506
298	215	505
299	216	504
300	216	503
301	217	501
302	217	500
303	217	498
304	218	498
305	219	496
306	219	496
307	220	495
308	220	494
309	221	492
310	221	491
311	222	490
312	223	489
313	223	488
314	223	486
315	224	485
316	224	484
317	225	483
318	225	481
319	226	480
320	226	479
321	227	478
322	227	477
323	228	476
324	228	475
325	229	475
326	230	474
327	231	473
328	231	472
329	232	471
330	232	469
331	233	469
332	233	467
333	234	466
334	234	465
335	235	464
336	235	463
337	236	462
338	236	461
339	237	460
340	237	459
341	238	458
342	238	456
343	239	455
344	239	455
345	240	453
346	241	453
347	241	452
348	242	451
349	242	450
350	243	449
351	244	449
352	244	448
353	245	447
354	245	446
355	246	445
356	246	444
357	247	443
358	247	442
359	249	443
360	249	442
361	250	441
362	250	440
363	251	439
364	251	438
365	252	437
366	252	435
367	253	435
368	253	434
369	254	432
370	254	432
371	255	431
372	255	430
373	256	428
374	256	427
375	257	426
376	257	425
377	258	424
378	258	423
379	259	422
380	259	421
381	260	421
382	261	420
383	261	419
384	262	418
385	262	418
386	263	417
387	264	416
388	264	415
389	265	415
390	266	414
391	266	413
392	266	412
393	267	411
394	268	411
395	269	410
396	269	409
397	270	408
398	270	407
399	271	406
400	271	405
401	271	404
402	272	403
403	272	402
404	273	401
405	273	400
406	274	400
407	275	399
408	275	398
409	276	397
410	277	397
411	279	399
412	280	398
413	280	397
414	281	396
415	281	395
416	282	394
417	283	394
418	283	393
419	284	392
420	284	391
421	285	391
422	286	390
423	286	389
424	287	388
425	287	387
426	288	386
427	288	385
428	288	384
429	289	383
430	290	382
431	290	381
432	290	381
433	291	380
434	292	379
435	292	378
436	293	377
437	293	376
438	294	375
439	294	374
440	294	373
441	295	372
442	295	372
443	296	371
444	297	371
445	298	370
446	298	369
447	299	369
448	300	368
449	300	367
450	301	366
451	301	365
452	301	364
453	302	363
454	302	362
455	303	361
456	303	361
457	304	360
458	305	359
459	305	358
460	306	357
461	306	356
462	307	356
463	307	355
464	308	354
465	308	353
466	309	353
467	309	352
468	310	351
469	310	350
470	311	349
471	311	348
472	312	347
473	312	347
474	313	346
475	313	345
476	314	344
477	314	343
478	315	342
479	315	342
480	316	341
481	316	340
482	317	339
483	317	338
484	318	337
485	318	336
486	319	336
487	319	335
488	320	334
489	320	333
490	320	332
491	321	331
492	321	331
493	322	330
494	322	329
495	323	328
496	324	327
497	324	327
498	325	326
499	325	325
500	326	324
501	326	324
502	327	323
503	327	322
504	328	321
505	328	321
506	329	320
507	329	319
508	330	318
509	330	317
510	331	317
511	331	316
512	332	315
513	333	315
514	333	314
515	334	313
516	334	312
517	335	311
518	335	310
519	336	310
520	336	309
521	337	308
522	337	307
523	337	306
524	338	306
525	338	305
526	339	304
527	339	303
528	340	302
529	340	302
530	342	302
531	342	301
532	343	301
533	344	300
534	345	300
535	345	299
536	346	298
537	346	297
538	347	296
539	347	296
540	348	295
541	348	294
542	349	293
543	349	293
544	349	292
